Brand,Model,RAM,Storage,Url Path
TECNO,Techno Spark 9,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-9-128gb-6gb-ram-sky-mirror-mobile-phone-l5troj
TECNO,Techno Spark 9,6 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-9-128gb-6gb-ram-infinity-black-mobile-phone-l5troj
TECNO,Techno Spark 9T,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-9t-64-gb-4-gb-ram-turquoise-cyan-mobile-phone-l6dyey
TECNO,Techno Spark 9T,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-9t-64-gb-4-gb-ram-atlantic-blue-mobile-phone-l6dyey
TECNO,That techno Spark 8T,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-8t-64-gb-4-gb-ram-turquoise-cyan-mobile-phone-l2hqot
TECNO,That techno Spark 8T,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-8t-64-gb-4-gb-ram-atlantic-blue-mobile-phone-l2hqou
TECNO,Techno Spark  8 Pro,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-8-pro-64-gb-4-gb-ram-turquoise-cyan-mobile-phone-l2hqou
TECNO,Techno Spark  8 Pro,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-8-pro-64-gb-4-gb-ram-interstellar-black-mobile-phone-l2hqow
TECNO,Techno Pova3,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pova3-64-gb-4-gb-ram-eco-black-mobile-phone-l4r6sw
TECNO,Techno Pova3,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pova3-64-gb-4-gb-ram-tech-silver-mobile-phone-l4r6sw
TECNO,Techno Pova3,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pova3-64-gb-4-gb-ram-electric-blue-mobile-phone-l4r6sy
TECNO,Techno Pova3,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pova-4-128-gb-8-gb-ram-cryolite-blue-mobile-phone-lb3r3q
Infinix,Infinix Smart 6 HD,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-hd-32-gb-2-gb-ram-force-black-mobile-phone-l8kf6r
Infinix,Infinix Smart 6 HD,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-hd-32-gb-2-gb-ram-origin-blue-mobile-phone-l8kf6r
Infinix,Infinix Smart 6 HD,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-hd-32-gb-2-gb-ram-aqua-sky-mobile-phone-l8kf6t
Infinix,Infinix Smart  5A,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-5a-32-gb-2-gb-ram-quetzal-cyan-smartphone-l1k9cw
Infinix,Infinix Smart  5A,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-5a-32-gb-2-gb-ram-ocean-wave-smartphone-l1k9df
Infinix,Infinix Smart  5A,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-5a-32-gb-2-gb-ram-midnight-black-mobile-phone-l1kl2s
Infinix,Infinix smart 6,2 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-64gb-2gb-ram-polar-black-mobile-phone-l5ieaf
Infinix,Infinix smart 6,2 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-64gb-2gb-ram-light-sea-green-mobile-phone-l5ieal
Infinix,Infinix smart 6,2 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-64gb-2gb-ram-starry-purple-mobile-phone-l5ieaj
Infinix,Infinix smart 6,2 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-64gb-2gb-ram-heart-of-ocean-mobile-phone-l5ieal
Infinix,Infinix smart 6 Plus,3 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-plus-64-gb-3-gb-ram-miracle-black-mobile-phone-l6551y
Infinix,Infinix smart 6 Plus,3 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-plus-64-gb-3-gb-ram-crystal-violet-mobile-phone-l6551w
Infinix,Infinix Hot 12 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-play-64-gb-4-gb-ram-daylight-green-mobile-phone-l5ieal
Infinix,Infinix Hot 12 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-play-64-gb-4-gb-ram-horizon-blue-mobile-phone-l5ieaj
Infinix,Infinix Hot 12 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-play-64-gb-4-gb-ram-racing-black-mobile-phone-l5ieal
Infinix,Infinix Hot 12 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-play-64-gb-4-gb-ram-champagne-gold-mobile-phone-l5iean
Infinix,Infinix Hot 20 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-20-play-64-gb-4-gb-ram-racing-black-mobile-phone-lbapx0
Infinix,Infinix Hot 20 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-20-play-64-gb-4-gb-ram-aurora-green-mobile-phone-lbapx0
Infinix,Infinix Hot 20 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-20-play-64-gb-4-gb-ram-fantasy-purple-mobile-phone-lbapx2
Infinix,Infinix Hot 20 Play,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-20-play-64-gb-4-gb-ram-luna-blue-mobile-phone-lbapx2
Infinix,Infinix Hot 11,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11-2022-64gb-4gb-ram-aurora-green-mobile-phone-l4cyil
Infinix,Infinix Hot 11,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11-2022-64gb-4gb-ram-sunset-gold-mobile-phone-l4cyin
Infinix,Infinix Hot 11,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11-2022-64gb-4gb-ram-polar-black-mobile-phone-l4cyin
Infinix,Infinix Hot 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-64-gb-4-gb-ram-7-degree-purple-mobile-phone-lbcg0f
Infinix,Infinix Hot 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-64-gb-4-gb-ram-exploratory-blue-mobile-phone-lbcg0l
Infinix,Infinix Hot 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-64-gb-4-gb-ram-polar-black-mobile-phone-lbcg0l
Infinix,Infinix Hot 12,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-12-64-gb-4-gb-ram-turquoise-cyan-mobile-phone-lbcg0n
Infinix,Infinix Smart 6 Plus,3 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-smart-6-plus-64-gb-3-gb-ram-mobile-phone-miracle-black-dummy-l9i4e6
Infinix,Infinix Hot 11S,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-64-gb-4-gb-ram-purple-mobile-phone-l1kl25
Infinix,Infinix Hot 11S,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-64-gb-4-gb-ram-silver-smartphone-l1k9cv
Infinix,Infinix Hot 11S,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-64-gb-4-gb-ram-black-mobile-phone-l1kl22
Infinix,Infinix Hot 11S,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/infinix-hot-11s-64-gb-4-gb-ram-green-wave-smartphone-l1k9d8
